Date,Open,High,Low,Close
1/2/15,"10,859.80","10,889.25","10,770.50","10,830.92"
1/9/15,"10,764.37","10,811.82","10,457.89","10,711.41"
1/16/15,"10,508.62","10,664.53","10,503.35","10,660.32"
1/23/15,"10,682.00","10,869.00","10,589.47","10,788.33"
1/30/15,"10,787.30","10,848.04","10,532.55","10,537.22"
2/6/15,"10,567.96","10,931.76","10,495.71","10,847.51"
2/13/15,"10,831.04","11,045.93","10,803.97","11,042.69"
2/20/15,"11,042.78","11,111.41","10,976.29","11,108.67"
2/27/15,"11,091.47","11,142.56","11,047.22","11,062.79"
3/6/15,"11,053.66","11,103.34","10,826.45","10,842.17"
3/13/15,"10,846.05","10,885.08","10,659.03","10,751.02"
3/20/15,"10,787.47","11,094.27","10,787.47","11,070.53"
3/27/15,"11,089.66","11,115.58","10,815.96","10,875.15"
4/2/15,"10,919.05","11,009.01","10,834.02","10,953.16"
4/10/15,"10,936.84","11,114.51","10,927.02","11,112.68"
4/17/15,"11,110.18","11,203.07","11,010.93","11,058.45"
4/24/15,"11,058.51","11,221.14","11,058.51","11,192.93"
5/1/15,"11,226.42","11,248.99","11,013.66","11,140.36"
5/8/15,"11,154.99","11,205.96","10,961.18","11,196.50"
5/15/15,"11,182.12","11,228.69","11,058.98","11,228.35"
5/22/15,"11,207.02","11,254.87","11,192.63","11,197.69"
5/29/15,"11,197.60","11,197.61","11,033.06","11,056.31"
6/5/15,"11,081.67","11,147.81","10,924.56","10,979.33"
6/12/15,"10,975.23","11,101.13","10,882.81","11,009.91"
6/19/15,"10,942.51","11,137.40","10,898.47","11,038.96"
6/26/15,"11,104.66","11,170.82","11,008.98","11,040.31"
7/2/15,"10,940.98","10,953.07","10,768.63","10,864.82"
7/10/15,"10,770.04","10,871.46","10,622.32","10,853.92"
7/17/15,"10,853.92","11,032.61","10,853.92","10,987.17"
7/24/15,"10,991.28","10,991.28","10,706.14","10,721.95"
7/31/15,"10,688.86","10,933.39","10,636.27","10,882.28"
8/7/15,"10,883.47","10,916.22","10,728.48","10,763.15"
8/14/15,"10,804.81","10,906.08","10,628.94","10,782.24"
8/21/15,"10,743.56","10,819.69","10,195.69","10,195.69"
8/28/15,"9,864.30","10,256.84","9,509.60","10,242.06"
9/4/15,"10,198.32","10,226.16","9,821.37","9,871.85"
9/11/15,"9,974.78","10,219.56","9,942.95","10,040.22"
9/18/15,"10,026.56","10,362.27","9,964.52","10,031.60"
9/25/15,"10,049.36","10,132.06","9,727.00","9,857.25"
10/2/15,"9,803.40","9,973.56","9,565.23","9,973.56"
10/9/15,"10,035.86","10,400.15","10,035.86","10,361.26"
10/16/15,"10,356.33","10,424.99","10,214.99","10,421.91"
10/23/15,"10,385.46","10,519.82","10,299.05","10,506.51"
10/30/15,"10,495.91","10,538.22","10,364.92","10,460.96"
11/6/15,"10,474.58","10,641.62","10,441.84","10,513.35"
11/13/15,"10,486.72","10,488.20","10,145.65","10,155.07"
11/20/15,"10,143.38","10,499.05","10,141.55","10,444.20"
11/27/15,"10,433.63","10,472.79","10,358.03","10,450.53"
12/4/15,"10,455.48","10,523.79","10,227.36","10,408.86"
